17, 7, 5, 3, 2, 4.25, 1.92029
19, 7, 5, 4, 3, 4.75, 1.47902
21, 11, 5, 3, 2, 5.25, 3.49106
23, 13, 5, 3, 2, 5.75, 4.3229
23, 11, 7, 3, 2, 5.75, 3.56195
23, 11, 5, 4, 3, 5.75, 3.11247
23, 9, 7, 5, 2, 5.75, 2.58602
23, 8, 7, 5, 3, 5.75, 1.92029
25, 13, 7, 3, 2, 6.25, 4.3229
25, 13, 5, 4, 3, 6.25, 3.96074
25, 11, 7, 5, 2, 6.25, 3.26917
25, 11, 7, 4, 3, 6.25, 3.11247
25, 9, 7, 5, 4, 6.25, 1.92029
26, 11, 7, 5, 3, 6.5, 2.95804
27, 17, 5, 3, 2, 6.75, 6.0156
27, 13, 7, 5, 2, 6.75, 4.02337
27, 13, 7, 4, 3, 6.75, 3.89711
27, 11, 9, 5, 2, 6.75, 3.49106
27, 11, 8, 5, 3, 6.75, 3.03109
27, 11, 7, 5, 4, 6.75, 2.68095
28, 13, 7, 5, 3, 7, 3.74166
29, 19, 5, 3, 2, 7.25, 6.86932
29, 17, 7, 3, 2, 7.25, 5.93191
29, 17, 5, 4, 3, 7.25, 5.6734
29, 13, 11, 3, 2, 7.25, 4.81534
29, 13, 9, 5, 2, 7.25, 4.14578
29, 13, 8, 5, 3, 7.25, 3.76663
29, 13, 7, 5, 4, 7.25, 3.49106
29, 11, 9, 7, 2, 7.25, 3.34477
29, 11, 9, 5, 4, 7.25, 2.86138
29, 11, 8, 7, 3, 7.25, 2.86138
29, 11, 7, 6, 5, 7.25, 2.27761
29, 9, 8, 7, 5, 7.25, 1.47902
31, 19, 7, 3, 2, 7.75, 6.75925
31, 19, 5, 4, 3, 7.75, 6.53357
31, 17, 7, 5, 2, 7.75, 5.62917
31, 17, 7, 4, 3, 7.75, 5.53963
31, 16, 7, 5, 3, 7.75, 4.96865
31, 13, 11, 5, 2, 7.75, 4.43706
31, 13, 11, 4, 3, 7.75, 4.3229
31, 13, 9, 7, 2, 7.75, 3.96074
31, 13, 9, 5, 4, 7.75, 3.56195
31, 13, 8, 7, 3, 7.75, 3.56195
31, 13, 7, 6, 5, 7.75, 3.11247
31, 11, 10, 7, 3, 7.75, 3.11247
31, 11, 9, 7, 4, 7.75, 2.58602
31, 11, 8, 7, 5, 7.75, 2.16506
32, 17, 7, 5, 3, 8, 5.38516
32, 13, 11, 5, 3, 8, 4.12311
32, 11, 9, 7, 5, 8, 2.23607
33, 23, 5, 3, 2, 8.25, 8.58414
33, 19, 7, 5, 2, 8.25, 6.45659
33, 19, 7, 4, 3, 8.25, 6.37868
33, 17, 11, 3, 2, 8.25, 6.13901
33, 17, 9, 5, 2, 8.25, 5.62917
33, 17, 8, 5, 3, 8.25, 5.35607
33, 17, 7, 5, 4, 8.25, 5.16599
33, 14, 11, 5, 3, 8.25, 4.43706
33, 13, 11, 7, 2, 8.25, 4.20565
33, 13, 11, 5, 4, 8.25, 3.83243
33, 13, 10, 7, 3, 8.25, 3.69966
33, 13, 9, 7, 4, 8.25, 3.26917
33, 13, 8, 7, 5, 8.25, 2.94746
33, 11, 9, 8, 5, 8.25, 2.16506
34, 19, 7, 5, 3, 8.5, 6.22495
34, 13, 11, 7, 3, 8.5, 3.84057
34, 13, 9, 7, 5, 8.5, 2.95804
35, 23, 7, 3, 2, 8.75, 8.43727
35, 23, 5, 4, 3, 8.75, 8.25757
35, 19, 11, 3, 2, 8.75, 6.86932
35, 19, 9, 5, 2, 8.75, 6.41775
35, 19, 8, 5, 3, 8.75, 6.1796
35, 19, 7, 5, 4, 8.75, 6.0156
35, 17, 13, 3, 2, 8.75, 6.41775
35, 17, 11, 5, 2, 8.75, 5.76086
35, 17, 11, 4, 3, 8.75, 5.6734
35, 17, 9, 7, 2, 8.75, 5.40255
35, 17, 9, 5, 4, 8.75, 5.11737
35, 17, 8, 7, 3, 8.75, 5.11737
35, 17, 7, 6, 5, 8.75, 4.81534
35, 16, 11, 5, 3, 8.75, 5.11737
35, 15, 11, 7, 2, 8.75, 4.81534
35, 14, 13, 5, 3, 8.75, 4.81534
35, 13, 11, 9, 2, 8.75, 4.14578
35, 13, 11, 8, 3, 8.75, 3.76663
35, 13, 11, 7, 4, 8.75, 3.49106
35, 13, 11, 6, 5, 8.75, 3.34477
35, 13, 9, 8, 5, 8.75, 2.86138
35, 12, 11, 7, 5, 8.75, 2.86138
35, 11, 9, 8, 7, 8.75, 1.47902
36, 17, 11, 5, 3, 9, 5.47723
36, 13, 11, 7, 5, 9, 3.16228
37, 25, 7, 3, 2, 9.25, 9.28372
37, 23, 7, 5, 2, 9.25, 8.13557
37, 23, 7, 4, 3, 9.25, 8.07388
37, 22, 7, 5, 3, 9.25, 7.49583
37, 19, 13, 3, 2, 9.25, 7.08431
37, 19, 11, 5, 2, 9.25, 6.49519
37, 19, 11, 4, 3, 9.25, 6.41775
37, 19, 9, 7, 2, 9.25, 6.1796
37, 19, 9, 5, 4, 9.25, 5.93191
37, 19, 8, 7, 3, 9.25, 5.93191
37, 19, 7, 6, 5, 9.25, 5.6734
37, 17, 13, 5, 2, 9.25, 6.0156
37, 17, 13, 4, 3, 9.25, 5.93191
37, 17, 11, 7, 2, 9.25, 5.49432
37, 17, 11, 5, 4, 9.25, 5.21416
37, 17, 10, 7, 3, 9.25, 5.11737
37, 17, 9, 7, 4, 9.25, 4.81534
37, 17, 8, 7, 5, 9.25, 4.60299
37, 16, 13, 5, 3, 9.25, 5.40255
37, 16, 11, 7, 3, 9.25, 4.81534
37, 16, 9, 7, 5, 9.25, 4.14578
37, 15, 13, 7, 2, 9.25, 5.11737
37, 15, 11, 7, 4, 9.25, 4.14578
37, 13, 12, 7, 5, 9.25, 3.34477
