10, 5, 3, 2, 3.33333, 1.24722
12, 7, 3, 2, 4, 2.16025
12, 5, 4, 3, 4, 0.816497
14, 7, 5, 2, 4.66667, 2.0548
14, 7, 4, 3, 4.66667, 1.69967
15, 7, 5, 3, 5, 1.63299
16, 11, 3, 2, 5.33333, 4.02768
16, 9, 5, 2, 5.33333, 2.86744
16, 8, 5, 3, 5.33333, 2.0548
16, 7, 5, 4, 5.33333, 1.24722
18, 13, 3, 2, 6, 4.96655
18, 11, 5, 2, 6, 3.74166
18, 11, 4, 3, 6, 3.55903
18, 9, 7, 2, 6, 2.94392
18, 9, 5, 4, 6, 2.16025
18, 8, 7, 3, 6, 2.16025
18, 7, 6, 5, 6, 0.816497
19, 11, 5, 3, 6.33333, 3.39935
20, 13, 5, 2, 6.66667, 4.6428
20, 13, 4, 3, 6.66667, 4.49691
20, 11, 7, 2, 6.66667, 3.68179
20, 11, 5, 4, 6.66667, 3.09121
20, 10, 7, 3, 6.66667, 2.86744
20, 9, 7, 4, 6.66667, 2.0548
20, 8, 7, 5, 6.66667, 1.24722
21, 13, 5, 3, 7, 4.32049
21, 11, 7, 3, 7, 3.26599
21, 9, 7, 5, 7, 1.63299
22, 17, 3, 2, 7.33333, 6.84755
22, 14, 5, 3, 7.33333, 4.78423
22, 13, 7, 2, 7.33333, 4.49691
22, 13, 5, 4, 7.33333, 4.02768
22, 11, 9, 2, 7.33333, 3.85861
22, 11, 8, 3, 7.33333, 3.29983
22, 11, 7, 4, 7.33333, 2.86744
22, 11, 6, 5, 7.33333, 2.62467
22, 9, 8, 5, 7.33333, 1.69967
23, 13, 7, 3, 7.66667, 4.10961
23, 11, 7, 5, 7.66667, 2.49444
24, 19, 3, 2, 8, 7.78888
24, 17, 5, 2, 8, 6.48074
24, 17, 4, 3, 8, 6.37704
24, 16, 5, 3, 8, 5.71548
24, 15, 7, 2, 8, 5.35413
24, 13, 9, 2, 8, 4.54606
24, 13, 8, 3, 8, 4.08248
24, 13, 7, 4, 8, 3.74166
24, 13, 6, 5, 8, 3.55903
24, 12, 7, 5, 8, 2.94392
24, 11, 10, 3, 8, 3.55903
24, 11, 9, 4, 8, 2.94392
24, 11, 8, 5, 8, 2.44949
24, 11, 7, 6, 8, 2.16025
24, 9, 8, 7, 8, 0.816497
25, 17, 5, 3, 8.33333, 6.18241
25, 13, 7, 5, 8.33333, 3.39935
25, 11, 9, 5, 8.33333, 2.49444
26, 19, 5, 2, 8.66667, 7.4087
26, 19, 4, 3, 8.66667, 7.31817
26, 17, 7, 2, 8.66667, 6.2361
26, 17, 5, 4, 8.66667, 5.90668
26, 16, 7, 3, 8.66667, 5.4365
26, 15, 7, 4, 8.66667, 4.6428
26, 13, 11, 2, 8.66667, 4.78423
26, 13, 10, 3, 8.66667, 4.18993
26, 13, 9, 4, 8.66667, 3.68179
26, 13, 8, 5, 8.66667, 3.29983
26, 13, 7, 6, 8.66667, 3.09121
26, 11, 8, 7, 8.66667, 1.69967
26, 10, 9, 7, 8.66667, 1.24722
27, 19, 5, 3, 9, 7.11805
27, 17, 7, 3, 9, 5.88784
27, 13, 11, 3, 9, 4.32049
27, 13, 9, 5, 9, 3.26599
27, 11, 9, 7, 9, 1.63299
28, 23, 3, 2, 9.33333, 9.67241
28, 21, 5, 2, 9.33333, 8.34
28, 19, 7, 2, 9.33333, 7.13364
28, 19, 5, 4, 9.33333, 6.84755
28, 17, 9, 2, 9.33333, 6.12826
28, 17, 8, 3, 9.33333, 5.79272
28, 17, 7, 4, 9.33333, 5.55778
28, 17, 6, 5, 9.33333, 5.4365
28, 16, 7, 5, 9.33333, 4.78423
28, 15, 11, 2, 9.33333, 5.4365
28, 14, 11, 3, 9.33333, 4.6428
28, 14, 9, 5, 9.33333, 3.68179
28, 13, 11, 4, 9.33333, 3.85861
28, 13, 8, 7, 9.33333, 2.62467
28, 12, 11, 5, 9.33333, 3.09121
28, 11, 10, 7, 9.33333, 1.69967
28, 11, 9, 8, 9.33333, 1.24722
29, 19, 7, 3, 9.66667, 6.79869
29, 17, 7, 5, 9.66667, 5.24934
29, 13, 11, 5, 9.66667, 3.39935
29, 13, 9, 7, 9.66667, 2.49444
30, 25, 3, 2, 10, 10.6145
30, 23, 5, 2, 10, 9.27362
30, 23, 4, 3, 10, 9.20145
30, 22, 5, 3, 10, 8.52447
30, 21, 5, 4, 10, 7.78888
30, 20, 7, 3, 10, 7.25718
30, 19, 9, 2, 10, 6.97615
30, 19, 8, 3, 10, 6.68331
30, 19, 7, 4, 10, 6.48074
30, 19, 6, 5, 10, 6.37704
30, 18, 7, 5, 10, 5.71548
30, 17, 11, 2, 10, 6.16441
30, 17, 10, 3, 10, 5.71548
30, 17, 9, 4, 10, 5.35413
30, 17, 8, 5, 10, 5.09902
30, 17, 7, 6, 10, 4.96655
